icao,name,municipality,iso_country,type,latitude_deg,longitude_deg
K00A,Total RF Heliport,Bensalem,US,heliport,40.070985,-74.933689
00AA,Aero B Ranch Airport,Leoti,US,small_airport,38.704022,-101.473911
00AK,Lowell Field,Anchor Point,US,small_airport,59.947733,-151.692524
00AL,Epps Airpark,Harvest,US,small_airport,34.86479949951172,-86.77030181884766
00AN,Katmai Lodge Airport,King Salmon,US,small_airport,59.093287,-156.456699
00AS,Fulton Airport,Alex,US,small_airport,34.9428028,-97.8180194
00AZ,Cordes Airport,Cordes,US,small_airport,34.305599212646484,-112.16500091552734
00CA,Goldstone (GTS) Airport,Barstow,US,small_airport,35.35474,-116.885329
00CL,Williams Ag Airport,Biggs,US,small_airport,39.427188,-121.763427
00CN,Kitchen Creek Helibase Heliport,Pine Valley,US,heliport,32.7273736,-116.4597417
00FA,Grass Patch Airport,Bushnell,US,small_airport,28.64550018310547,-82.21900177001953
00FL,River Oak Airport,Okeechobee,US,small_airport,27.230899810791016,-80.96920013427734
00GA,Lt World Airport,Lithonia,US,small_airport,33.76750183105469,-84.06829833984375
00GE,Caffrey Heliport,Hiram,US,heliport,33.887982,-84.736983
00HI,Kaupulehu Heliport,Kailua-Kona,US,heliport,19.832881,-155.978347
00ID,Delta Shores Airport,Clark Fork,US,small_airport,48.145301818847656,-116.21399688720703
00IG,Goltl Airport,McDonald,US,small_airport,39.724028,-101.395994
00IL,Hammer Airport,Polo,US,small_airport,41.978401,-89.560402
00IN,St Mary Medical Center Heliport,Hobart,US,heliport,41.51139831542969,-87.2605972290039
00IS,Hayenga's Cant Find Farms Airport,Kings,US,small_airport,40.02560043334961,-89.1229019165039
00KS,Hayden Farm Airport,Gardner,US,small_airport,38.72779846191406,-94.93049621582031
00KY,Robbins Roost Airport,Stanford,US,small_airport,37.409400939941406,-84.61969757080078
00LA,Shell Chemical East Site Heliport,Gonzales,US,heliport,30.191944,-90.980833
00LL,Ac & R Components Heliport,Chatham,US,heliport,39.66529846191406,-89.70559692382812
00LS,Lejeune Airport,Crowley,US,small_airport,30.136299,-92.429398
00MD,Slater Field,Federalsburg,US,small_airport,38.75709915161133,-75.75379943847656
00MI,Dow Chemical Heliport,Ludington,US,heliport,43.94940185546875,-86.41670227050781
00MN,Battle Lake Municipal Airport,Battle Lake,US,small_airport,46.29999923706055,-95.70030212402344
00MO,Cooper Flying Service Airport,Alba,US,small_airport,37.202800750732,-94.412399291992
00MT,Livingston Healthcare Heliport,Livingston,US,heliport,45.675,-110.52515
K00N,Bucks Airport,Bridgeton,US,small_airport,39.472998,-75.184346
00NC,North Raleigh Airport,Louisburg,US,small_airport,36.085201263427734,-78.37139892578125
00NJ,Colgate-Piscataway Heliport,New Brunswick,US,heliport,40.52090072631836,-74.47460174560547
00NK,Cliche Cove Seaplane Base,Beekmantown,US,seaplane_base,44.8118612,-73.3698057
00NR,Rodanthe Dare County Heliport,Rodanthe,US,heliport,35.594729,-75.470002
00NY,Weiss Airfield,West Bloomfield,US,small_airport,42.89576,-77.495263
00OI,Miami Valley Hospital Helistop,Dayton,US,heliport,39.744888,-84.18724
00OK,Gull Bay Landing Airport,Sandsprings,US,small_airport,36.198598,-96.217693
00OR,Steel Systems Heliport,Salem,US,heliport,44.932899475097656,-123.12999725341797
00PA,R J D Heliport,Coatesville,US,heliport,39.94889831542969,-75.74690246582031
00PN,Ferrell Field,Mercer,US,small_airport,41.2995,-80.211111
K00S,McKenzie Bridge State Airport,Blue River,US,small_airport,44.181466,-122.086
00SC,Flying O Airport,Sumter,US,small_airport,34.0093994140625,-80.26719665527344
00SD,Homan Field,Gary,US,small_airport,44.809158,-96.498897
00TE,Tcjc-Northeast Campus Heliport,Fort Worth,US,heliport,32.847599029541016,-97.18949890136719
00TS,Alpine Range Airport,Everman,US,small_airport,32.607601165771484,-97.24199676513672
00TT,Nowhere Airport,Goodlett,US,small_airport,34.516606,-99.93694
00VA,Vaughan Airport,Alton,US,small_airport,36.574964,-78.998437
00VI,Groundhog Mountain Airport,Hillsville,US,small_airport,36.663299560546875,-80.49949645996094
K00W,Lower Granite State Airport,Colfax,US,small_airport,46.672884,-117.441933
00WA,Howell Airport,Longbranch,US,small_airport,47.17839813232422,-122.77200317382812
00WI,Northern Lite Airport,Waupaca,US,small_airport,44.304298400878906,-89.05010223388672
00WN,Hawks Run Airport,Asotin,US,small_airport,46.25,-117.2490005493164
00WV,Lazy J. Aerodrome,Beverly,US,small_airport,38.82889938354492,-79.86609649658203
00WY,Mountain View Regional Hospital Heliport,Casper,US,heliport,42.840361,-106.224443
00XA,Weeski Ranch Airport,,US,small_airport,30.224,-96.01417
K01A,Purkeypile Airport,Purkeypile,US,small_airport,62.940833,-152.269722
01AK,Providence Seward Medical Center Heliport,Seward,US,heliport,60.105873975399994,-149.446249008
01AL,Ware Island Airport,Clanton,US,small_airport,32.94599914550781,-86.51390075683594
01AN,McHone Heights Airport,Wasilla,US,small_airport,61.649095,-149.339025
01AR,DeQueen Medical Center Heliport,DeQueen,US,heliport,34.047456,-94.354023
01AZ,Yat Heliport,Camp Verde,US,heliport,34.607406,-111.8609
01CA,SCE Lugo Substation Heliport,Hesperia,US,heliport,34.368241,-117.370059
01CL,Swansboro Country Airport,Placerville,US,small_airport,38.7999,-120.734001
01CO,St Vincent General Hospital Heliport,Leadville,US,heliport,39.24530029296875,-106.24600219726562
01CT,Berlin Fairgrounds Heliport,Berlin,US,heliport,41.62730026245117,-72.72750091552734
01FA,Rybolt Ranch Airport,Orlando,US,small_airport,28.589399337768555,-81.14420318603516
01FD,Advent Health Altamonte Springs Heliport,Altamonte Springs,US,heliport,28.666639,-81.3697
01FL,Cedar Knoll Flying Ranch Airport,Geneva,US,small_airport,28.78190040588379,-81.1592025756836
01GA,Medical Center Heliport,Columbus,US,heliport,32.47930145263672,-84.9791030883789
01GE,The Farm Airport,Wrightsville,US,small_airport,32.675106,-82.771055
01ID,Lava Hot Springs Airport,Lava Hot Springs,US,small_airport,42.6082,-112.031998
01II,Myers Field,Lizton,US,small_airport,39.8849983215332,-86.50669860839844
01IL,Hoopeston Community Memorial Hospital Heliport,Hoopeston,US,heliport,40.45859909057617,-87.65950012207031
01IN,Community Hospital Heliport,Anderson,US,heliport,40.13090133666992,-85.69580078125
01IS,William E. Koenig Airport,Dow,US,small_airport,39.01620101928711,-90.31819915771484
K01J,Hilliard Airpark,Hilliard,US,small_airport,30.685568,-81.906346
K01K,Caldwell Municipal Airport,Caldwell,US,small_airport,37.036132,-97.58533
01KS,Flying N Ranch Airport,Lost Springs,US,small_airport,38.54059982299805,-97.00330352783203
01KY,Lourdes Hospital Heliport,Paducah,US,heliport,37.051700592041016,-88.64689636230469
01LA,Barham Airport,Oak Ridge,US,small_airport,32.638999938964844,-91.77369689941406
01LL,Schumaier Restricted Landing Area,Pinckneyville,US,small_airport,38.12580108642578,-89.46389770507812
01LS,Country Breeze Airport,Slaughter,US,small_airport,30.722478,-91.077372
01MA,Compaq Andover Heliport,Andover,US,heliport,42.625099182128906,-71.18009948730469
01MD,Annapolis Seaplane Base,Annapolis,US,seaplane_base,38.999199,-76.456001
01ME,Saint Peter's Seaplane Base,Portage Lake,US,seaplane_base,46.778900146484375,-68.50029754638672
01MI,Flow Through Terminal Heliport,Flint,US,heliport,43.04949951171875,-83.67970275878906
01MN,Barnes Seaplane Base,Cook,US,seaplane_base,47.899600982666016,-92.55740356445312
01MO,Highway Patrol Troop C Headquarters Heliport,Town and Country,US,heliport,38.641700744628906,-90.48429870605469
01MT,Crystal Lakes Resort Airport,Fortine,US,small_airport,48.789100646972656,-114.87999725341797
01MU,NWMC - Houghton Heliport,Tucson,US,heliport,32.196747,-110.775142
01NC,Topsail Airpark,Holly Ridge,US,small_airport,34.47529983520508,-77.5813980102539
01NH,Moore Airfield,Canaan,US,small_airport,43.6445,-72.086998
01NJ,Albert Guido Memorial Heliport,Newark,US,heliport,40.739956,-74.136128
01NM,Champion Ranch Airport,Lake Arthur,US,small_airport,33.008611,-104.540278
01NR,McGee 01 Heliport,Wilmington,US,heliport,34.196264,-77.919917
01NV,Lantana Ranch Airport,Yerington,US,small_airport,38.76390075683594,-119.0270004272461
01NY,Vassar Hospital Heliport,Poughkeepsie,US,heliport,41.692415,-73.93683
01OH,Atrium Medical Center Heliport,Middletown,US,heliport,39.497455,-84.313851
01OI,Avita Health System Galion Hospital Heliport,Galion,US,heliport,40.730267,-82.802022
01OL,Spring Creek Ranch East Airport,Tishomingo,US,small_airport,34.391667,-96.690833
01PN,Bierly(Personal Use) Airport,Bellefonte,US,small_airport,40.930599212646484,-77.73889923095703
01PS,Nort's Resort Airport,Meshoppen,US,small_airport,41.59590148925781,-76.02960205078125
01SC,York Airport,York,US,small_airport,35.032100677490234,-81.25279998779297
01TE,Smith Field,Forney,US,small_airport,32.737598,-96.428001
01TN,Colonial Air Park,Collierville,US,small_airport,34.99589920043945,-89.73059844970703
01TT,Clute Fire & EMS Station #1 Heliport,Clute,US,heliport,29.012067,-95.402119
K01U,Duckwater Airport,Duckwater,US,small_airport,38.849785,-115.634987
01UT,La Sal Junction Airport,La Sal,US,small_airport,38.30830001831055,-109.39600372314453
01VA,Pickles Airport,Berryville,US,small_airport,39.125,-77.9250030518
01WA,Willapa Harbor Heliport,South Bend,US,heliport,46.66320037841797,-123.81199645996094
01WN,Whidbey General Hospital Heliport,Coupeville,US,heliport,48.213401794433594,-122.68499755859375
01WT,Odyssey Heliport,Renton,US,heliport,47.518178,-122.210908
01WY,Keyhole Airport,Pine Haven,US,small_airport,44.348312,-104.8106
01XA,Ascension Seton Hays Heliport,Kyle,US,heliport,30.007222,-97.853333
01XS,Meadowood Ranch Heliport,Athens,US,heliport,32.020198822021484,-95.74549865722656
02AA,Barefoot Airport,Big Lake,US,small_airport,61.506147,-149.912825
02AK,Rustic Wilderness Airport,Willow,US,small_airport,61.876907,-150.097626
02AL,Bass Field,Foley,US,small_airport,30.37150001525879,-87.76439666748047
02AN,Emerald Ridge Airport,Homer,US,small_airport,59.704223,-151.295869
02CA,Swepi Beta Platform Ellen Heliport,Huntington Beach,US,heliport,33.58250045776367,-118.12899780273438
02CD,Shannon Field,Clarksdale,US,small_airport,34.129600524902344,-90.52400207519531
02CL,Conover Air Lodge Airport,Frazier Park,US,small_airport,34.761101,-119.058998
02CO,Mc Cullough Airport,Monte Vista,US,small_airport,37.64329910279999,-106.04699707
02CT,Strangers Point Heliport,Ellington,US,heliport,41.91960144042969,-72.44450378417969
02FA,Osborn Airfield,Groveland,US,small_airport,28.526699,-81.874802
02FD,Triple R Ranch Airport,Baker,US,small_airport,30.950976,-86.635555
02GA,Doug Bolton Field,Commerce,US,small_airport,34.202598571777344,-83.42900085449219
02GE,Etowah Fields Airport,Euharlee,US,small_airport,34.17530059814453,-84.92440032958984
02HI,K3 Helipad Heliport,Honolulu,US,heliport,21.35839,-157.94789
02IA,Boone County Hospital Heliport,Boone,US,heliport,42.05609893798828,-93.87799835205078
02ID,Morgan Ranch Airport,Cascade,US,small_airport,44.55550003051758,-115.30500030517578
02II,King Ultralightport,Westfield,US,small_airport,40.06230163574219,-86.21050262451172
02IN,Diamond P. Field,Muncie,US,small_airport,40.208900451660156,-85.54080200195312
02IS,Condell Medical Center Heliport,Libertyville,US,heliport,42.274600982666016,-87.9572982788086
02KS,JMJ Landing Airport,Saint Marys,US,small_airport,39.221416,-96.057072
02KT,St Claire Healthcare Heliport,Morehead,US,heliport,38.181441,-83.443319
02KY,Boone National Guard Heliport,Frankfort,US,heliport,38.190282,-84.906442
02LA,Louisiana State Police Troop G Heliport,Bossier City,US,heliport,32.531491,-93.659939
02LS,Windy Hill Heliport,Broussard,US,heliport,30.148300170898438,-91.91899871826172
02MA,Cuttyhunk Heliport,Cuttyhunk,US,heliport,41.419601,-70.927002
02MD,Garner Field,Brandywine,US,small_airport,38.672544,-76.709739
02ME,Nadeau's Airfield,Acton,US,small_airport,43.537467,-70.930685
02MI,Fairplains Airpark,Greenville,US,small_airport,43.157100677490234,-85.14849853515625
02MO,Troy Airpark,Troy,US,small_airport,39.04999923706055,-91.03350067138672
02MS,Watts Field,Rochdale,US,small_airport,34.095701,-90.846131
02NE,Benes Service Airport,Valparaiso,US,small_airport,41.074501037597656,-96.90450286865234
02NH,Iroquois Landing Seaplane Base,Dummer,US,seaplane_base,44.657100677490234,-71.21910095214844
02NM,FFR Animas Landing Strip,Animas,US,small_airport,32.09071,-108.870735
02NR,McGee 02 Heliport,Greenville,US,heliport,35.592197,-77.377372
02NV,Paiute Meadows Airport,Winnemucca,US,small_airport,41.299551,-118.926709
02NY,Hansen Heliport,Durhamville,US,heliport,43.132598876953125,-75.65550231933594
02OH,Zimmerman Airport,Fremont,US,small_airport,41.376399993896484,-83.08329772949219
