icao,ident,lat,lon,heading_true_deg,length_ft,width_ft,displaced_threshold_ft,elevation_ft,surface
00CA,04,35.349300384521484,-116.89299774169922,50,6000,80,,,ASPH
00WI,09,44.30419921875,-89.052001953125,87.2,1000,60,,,TURF
01LS,09,30.722700119018555,-91.0802001953125,92.2,1800,150,,,TURF
01MT,13,48.79499816894531,-114.88600158691406,148,5000,70,,,ASPH-G
01OL,5,34.360721588134766,-96.7364730834961,50,1600,75,,1058,Turf
01OL,23,34.3930549621582,-96.68888854980469,230,1600,75,,1043,Turf
01WI,01,44.00559997558594,-90.3905029296875,9.6,2300,120,,,TURF
04CA,8,34.5666,-117.683,90,8000,150,,,ASP
04CA,26,34.5667,-117.6575,270,8000,150,,,ASP
04MS,17,32.94419860839844,-90.8373031616211,180,3400,100,,,ASPH-TURF
04NV,02,35.751800537109375,-115.66799926757812,33.5,3240,45,,,ASPH
05CL,10,38.61309814453125,-122.39700317382812,116,3700,60,840,618,ASPH-G
05LS,02,31.247100830078125,-92.47830200195312,22.4,2300,100,,,TURF
06FA,09,26.908100128173828,-80.33920288085938,90,7003,150,241,28,ASPH
06FA,27,26.908199310302734,-80.31770324707031,270,7003,150,241,28,ASPH
06MO,15,39.23529815673828,-94.806396484375,156.6,3000,30,,,ASPH
06TE,08,30.312299728393555,-95.03079986572266,83.9,3500,50,,,ASPH
06WN,27,46.92359924316406,-122.5479965209961,273.9,2845,30,64,,ASPH-G
07FA,04,25.3207,-80.279198,40,4500,70,,,ASP-G
07IA,18,40.650081,-95.021511,177,1600,60,,971,Turf
07IA,36,40.645694,-95.021189,357,1600,60,,969,Turf
07MT,10,48.430301666259766,-106.552001953125,120,13500,300,,2757,CONC-G
07MT,28,48.411800384521484,-106.50399780273438,300,13500,300,,2748,CONC-G
07TE,13,27.725799560546875,-97.51750183105469,134,5000,100,,39,ASPH
08MS,07,34.660499572753906,-89.87419891357422,70,3725,50,,,ASPH-TURF
09CL,01,39.11000061,-121.0589981,26,2834,50,,2240,ASPH-F
09FA,18,27.252199172973633,-81.41310119628906,180,4800,50,,,ASPH-E
09TS,09,29.48240089,-103.1709976,90,4083,42,,,ASPH
0AZ2,12,33.77939987182617,-113.64399719238281,131,1500,100,,,GRVL
0AZ2,17,33.78279877,-113.6409988,183,3500,42,,,ASPH
0CA9,16,35.59939956665039,-120.33899688720703,173,3300,60,,,ASPH
0CO2,11,38.854400634765625,-106.93800354003906,121.1,4000,40,,8980,ASPH
0ID2,11,44.44589996,-113.7850037,110,7507,75,,,ASPH
0KY1,10,36.76610184,-86.623703,98,3408,75,,,ASPH
0MI8,17,44.894554138183594,-84.30105590820312,170,1600,100,,1276,Torf
0MI8,35,44.890567779541016,-84.2999496459961,350,1600,100,,1273,Torf
0MI8,4,44.89099884033203,-84.30110168457031,36,2800,100,,1275,Turf
0MI8,22,44.89720153808594,-84.2947998046875,216,2800,100,,1276,Turf
0MS0,04,32.47159957885742,-88.62000274658203,40,3200,100,,,ASPH
